year,cc,ex.rate
1995,AWG,0.558798646362098
1996,AWG,0.558704453441296
1997,AWG,0.558716265499635
1998,AWG,0.558537403555854
1999,AWG,0.558690012970169
2000,AWG,0.558604235013421
2001,AWG,0.55862670933954
2002,AWG,0.558561151079137
2003,AWG,0.558595909342178
2004,AWG,0.558535973928303
2005,AWG,0.558724832214765
2006,AWG,0.55852534562212
2007,AWG,0.558641315958129
2008,AWG,0.558608058608059
2009,AWG,0.55868544600939
2010,AWG,0.558775414816546
2011,AWG,0.558720420683611
2012,AWG,0.558739255014327
2013,AWG,0.558683412732785
2014,AWG,0.558507273877293
2015,AWG,0.558530510585305
2016,AWG,0.558662741799832
2017,AWG,0.558706986444213
2018,AWG,0.558590657165479
2019,AWG,0.558698999230177
2020,AWG,0.558668672433246
2021,AWG,0.558630735615441
2022,AWG,0.558610964216464
2023,AWG,0.55860774611841
2024,AWG,0.558692421991085
2002,AFN,0.0244299492045022
2003,AFN,0.0206942317044902
2004,AFN,0.0209008569919987
2005,AFN,0.0202245790782026
2006,AFN,0.0200250421465689
2007,AFN,0.0200142691727389
2008,AFN,0.0198972385021323
2009,AFN,0.0198706579252899
2010,AFN,0.0215311643407389
2011,AFN,0.0213938403916663
2012,AFN,0.0196334913906952
2013,AFN,0.0180600934612075
2014,AFN,0.0174263063178813
2015,AFN,0.0163521038342696
2016,AFN,0.0147351719179235
2017,AFN,0.0146892819420196
2018,AFN,0.0138102209705708
2019,AFN,0.0124687681783512
2020,AFN,0.0116075764037745
2021,AFN,0.0112961352056667
2022,AFN,0.0110875131130175
2023,AFN,0.0108479940991244
2024,AFN,0.010615062601057
1994,AOA,4965
1995,AOA,364.529411764706
1996,AOA,7.82191780821918
1997,AOA,4.38077461502567
1998,AOA,2.54574536148433
1999,AOA,0.358346824111989
2000,AOA,0.0995915018105924
2001,AOA,0.0453361428192195
2002,AOA,0.0229731659114648
2003,AOA,0.0134039159029001
2004,AOA,0.0119700890082238
2005,AOA,0.0114732965237814
2006,AOA,0.0124427461694984
2007,AOA,0.0130366825232431
2008,AOA,0.0133274567827421
2009,AOA,0.0126058277591419
2010,AOA,0.0108806540311941
2011,AOA,0.0106457115942551
2012,AOA,0.0104747258679995
2013,AOA,0.0103607395647625
2014,AOA,0.0101726776282844
2015,AOA,0.00832914524865467
2016,AOA,0.00611037208530859
2017,AOA,0.00602716012349845
2018,AOA,0.00395481483451037
2019,AOA,0.00290800980094651
2020,AOA,0.00245549089880548
2021,AOA,0.00228633905255548
2022,AOA,0.00218597758903154
2023,AOA,0.00211657782974451
2024,AOA,0.00204109494889491
1980,ALL,0.10525177132349
1981,ALL,0.116542925860086
1982,ALL,0.116560056858564
1983,ALL,0.116532663316583
1984,ALL,0.116569101552558
1985,ALL,0.116571143782706
1986,ALL,0.125024163928088
1987,ALL,0.124981734937412
1988,ALL,0.125012352999308
1989,ALL,0.125022494151521
1990,ALL,0.111016694991503
1991,ALL,0.0682924330139864
1992,ALL,0.0133089152365766
1993,ALL,0.00979603331053627
1994,ALL,0.0105604036301667
1995,ALL,0.0107768936221132
1996,ALL,0.00957055141330127
1997,ALL,0.00681809950380896
1998,ALL,0.00665197688438033
1999,ALL,0.00723409243587605
2000,ALL,0.00694933549348662
2001,ALL,0.00697134966962405
2002,ALL,0.00712210111811091
2003,ALL,0.00827901047307367
2004,ALL,0.00974031255761493
2005,ALL,0.0100128953955852
2006,ALL,0.0101932430806602
2007,ALL,0.0110581982086485
2008,ALL,0.0119193911958811
2009,ALL,0.0105285610383798
2010,ALL,0.00962936969858306
2011,ALL,0.00991754726961828
2012,ALL,0.00924662236431122
2013,ALL,0.00946925787357978
2014,ALL,0.00949326491340603
2015,ALL,0.00794042000771104
2016,ALL,0.00805580249361791
2017,ALL,0.00841820405200605
2018,ALL,0.00926026137070808
2019,ALL,0.00904078968817543
2020,ALL,0.00926098418617713
2021,ALL,0.00940663485257643
2022,ALL,0.00952159788314129
2023,ALL,0.00956562874170177
2024,ALL,0.00961494179785089
1980,AED,0.269735437022799
1981,AED,0.272405903076234
1982,AED,0.272403580146461
1983,AED,0.27240629706459
1984,AED,0.272403488530417
1985,AED,0.272407347916241
1986,AED,0.272410679736876
1987,AED,0.272404621464471
1988,AED,0.272406078967137
1989,AED,0.272404150784172
1990,AED,0.272404417068975
1991,AED,0.27240666622925
1992,AED,0.272407567804481
1993,AED,0.272405197506257
1994,AED,0.272402691310141
1995,AED,0.272405837053906
1996,AED,0.272406343651552
1997,AED,0.272296021963566
1998,AED,0.272294547356783
1999,AED,0.27229471511989
2000,AED,0.272292680625555
2001,AED,0.272295024933318
2002,AED,0.272293577981651
2003,AED,0.272293293508109
2004,AED,0.272293395470496
2005,AED,0.272293228888708
2006,AED,0.272294639234152
2007,AED,0.272293936741776
2008,AED,0.272294297938599
2009,AED,0.272293597292819
2010,AED,0.272293759701723
2011,AED,0.272294053288462
2012,AED,0.272294364112689
2013,AED,0.272294387402542
2014,AED,0.272294010014042
2015,AED,0.272294033610315
2016,AED,0.272294028284505
2017,AED,0.272294062390284
2018,AED,0.272294145181819
2019,AED,0.272293894423213
2020,AED,0.272293979108037
2021,AED,0.272294080643906
2022,AED,0.272294087230368
2023,AED,0.272294247121791
2024,AED,0.272293926140102
1984,ARS,126563
1985,ARS,15932.1666666667
1986,ARS,10449.9090909091
1987,ARS,4714.16
1988,ARS,1150.36666666667
1989,ARS,25.1825419391527
1990,ARS,2.05066256190604
1991,ARS,1.04807535392273
1992,ARS,1.00943956884902
1993,ARS,1
1994,ARS,1
1995,ARS,1
1996,ARS,1
1997,ARS,1
1998,ARS,1
1999,ARS,1
2000,ARS,1
2001,ARS,1
2002,ARS,0.321779790177713
2003,ARS,0.33888691170154
2004,ARS,0.339942075590324
2005,ARS,0.342077255046023
2006,ARS,0.325311773645629
2007,ARS,0.320989319717274
2008,ARS,0.316223428777206
2009,ARS,0.268150672033425
2010,ARS,0.255595855140544
2011,ARS,0.242146942851478
2012,ARS,0.21974408566769
2013,ARS,0.18262089389626
2014,ARS,0.123084388456561
2015,ARS,0.107895341867703
2016,ARS,0.0676668902889589
2017,ARS,0.0603984357026106
2018,ARS,0.0355671962968111
2019,ARS,0.0206205662408073
2020,ARS,0.013712814136299
2021,ARS,0.0111228891566137
2022,ARS,0.00923772235541741
2023,ARS,0.0078816424238214
2024,ARS,0.00683169868208844
1992,AMD,0.366101694915254
1993,AMD,0.214267385168078
1994,AMD,0.00346403656483041
1995,AMD,0.00246430869152293
1996,AMD,0.00241527262938042
1997,AMD,0.00203770563545583
1998,AMD,0.00198035347006704
1999,AMD,0.00186846038863976
2000,AMD,0.00185390240638859
2001,AMD,0.00180120879989999
2002,AMD,0.00174388904872907
2003,AMD,0.00172776419188708
2004,AMD,0.00187479198823865
2005,AMD,0.00218469013737242
2006,AMD,0.00240344252481938
2007,AMD,0.00292320505969136
2008,AMD,0.0032682889097894
2009,AMD,0.00275269277204884
2010,AMD,0.00267614356729938
2011,AMD,0.00268452751839227
2012,AMD,0.00248894810007639
2013,AMD,0.00244115094307318
2014,AMD,0.00240441069571344
2015,AMD,0.00209234097722812
2016,AMD,0.00208118968427725
2017,AMD,0.00207152745092859
2018,AMD,0.00207042130150949
2019,AMD,0.00205534321969118
